#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 04 18 22 00 270  8.0 10.0   1.6     7    MM  MM 1028.9   0.6   1.3    MM   MM -3.7    MM
2014 04 18 21 00 270  8.0  9.0   1.6     7    MM  MM 1030.0   0.7   1.3    MM   MM -4.0    MM
2014 04 18 20 00 300  7.0  8.0   1.8     7    MM  MM 1031.6   0.5   1.3    MM   MM -2.4    MM
2014 04 18 19 00 350  6.0  8.0   1.6     7    MM  MM 1032.6   0.4   1.3    MM   MM -1.4    MM
2014 04 18 18 00 310  7.0  8.0   1.8     6    MM  MM 1034.0   0.4   1.3    MM   MM -2.3    MM
2014 04 18 17 00 290  7.0  9.0   1.8     7    MM  MM 1034.0   0.2   1.3    MM   MM -3.0    MM
2014 04 18 16 00 280  8.0 10.0   1.8     7    MM  MM 1034.0   0.0   1.3    MM   MM -4.1    MM
2014 04 18 15 00 270  7.0  9.0   1.7     7    MM  MM 1036.3  -0.1   1.2    MM   MM -2.2    MM
2014 04 18 14 00 260  8.0 10.0   1.8     7    MM  MM 1037.0  -0.2   1.2    MM   MM -1.3    MM
2014 04 18 13 00 280  7.0  9.0   1.8     7    MM  MM 1038.1  -0.2   1.2    MM   MM +0.0    MM
2014 04 18 12 00 270  7.0  9.0   1.7     6    MM  MM 1038.5  -0.2   1.2    MM   MM +0.3    MM
2014 04 18 11 00 270  8.0 10.0   1.7     7    MM  MM 1038.3  -0.4   1.1    MM   MM -0.3    MM
2014 04 18 10 00 270  8.0 10.0   1.6     6    MM  MM 1038.1  -0.3   1.1    MM   MM -1.0    MM
2014 04 18 09 00  80  6.0  7.0   1.4     6    MM  MM 1038.2  -0.8   1.0    MM   MM -1.8    MM
2014 04 18 08 00 310  6.0  7.0   1.4     7    MM  MM 1038.6  -0.5   1.1    MM   MM -1.9    MM
2014 04 18 07 00 120  6.0  7.0   1.3     6    MM  MM 1039.1  -0.1   1.1    MM   MM -2.0    MM
2014 04 18 06 00 120  6.0  7.0   1.2     5    MM  MM 1040.0   0.0   1.1    MM   MM -1.6    MM
2014 04 18 05 00 110  7.0  7.0   1.1     8    MM  MM 1040.5   0.0   1.1    MM   MM -1.3    MM
2014 04 18 04 00 120  6.0  7.0   1.1     5    MM  MM 1041.1   0.2   1.1    MM   MM -1.3    MM
2014 04 18 03 00 300  6.0  7.0   1.0     9    MM  MM 1041.6   0.2   1.1    MM   MM -1.1    MM
2014 04 18 02 00 230  6.0  7.0   0.9     8    MM  MM 1041.8   0.3   1.1    MM   MM -0.5    MM
2014 04 18 01 00 300  5.0  7.0   0.8     9    MM  MM 1042.4   0.7   1.2    MM   MM +0.4    MM
2014 04 18 00 00 200  4.0  5.0   0.8     9    MM  MM 1042.7   0.7   1.2    MM   MM +0.6    MM
2014 04 17 23 00 200  3.0  4.0   0.7    10    MM  MM 1042.3   0.5   1.3    MM   MM +0.4    MM
2014 04 17 22 00 220  3.0  4.0   0.9    10    MM  MM 1042.0   0.6   1.4    MM   MM +0.0    MM
2014 04 17 21 00 230  3.0  5.0   0.9    10    MM  MM 1042.1   0.6   1.4    MM   MM -0.5    MM
2014 04 17 20 00 320  4.0  5.0   1.0    11    MM  MM 1041.9   0.5   1.5    MM   MM -0.7    MM
2014 04 17 19 00   0  4.0  6.0   1.1    10    MM  MM 1042.0   0.3   1.5    MM   MM -0.5    MM
2014 04 17 18 00 350  4.0  5.0   1.1    10    MM  MM 1042.6   0.2   1.6    MM   MM +0.2    MM
2014 04 17 17 00 270  4.0  5.0   1.1    10    MM  MM 1042.6   0.1   1.6    MM   MM +0.3    MM
2014 04 17 16 00 140  2.0  4.0   1.2    11    MM  MM 1042.5   1.5   1.5    MM   MM +0.5    MM
2014 04 17 15 00 270  4.0  6.0   1.2    10    MM  MM 1042.4   0.9   1.4    MM   MM +0.9    MM
2014 04 17 14 00 200  6.0  7.0   1.3    10    MM  MM 1042.3   0.0   1.3    MM   MM +1.9    MM
2014 04 17 13 00 330  6.0  7.0   1.4    10    MM  MM 1042.0  -1.0   1.2    MM   MM +2.8    MM
2014 04 17 12 00 180  7.0  9.0   1.5    11    MM  MM 1041.5  -1.6   1.1    MM   MM   MM    MM
2014 04 17 11 00 200  8.0 10.0   1.7    12    MM  MM 1040.4  -1.9   1.0    MM   MM +3.1    MM
2014 04 17 10 00 190  9.0 11.0   1.7    11    MM  MM 1039.2  -2.0   0.9    MM   MM +2.6    MM
2014 04 17 08 00 180  8.0 10.0   2.1    11    MM  MM 1037.3  -1.3   0.9    MM   MM +3.4    MM
2014 04 17 07 00 180  8.0 10.0   2.1    10    MM  MM 1036.6  -0.8   0.9    MM   MM +3.5    MM
2014 04 17 06 00 170  9.0 11.0   2.1    11    MM  MM 1035.4  -0.5   0.9    MM   MM +3.6    MM
2014 04 17 05 00 170  8.0   MM    MM    MM    MM  MM 1033.9  -0.2    MM    MM   MM +2.8    MM
2014 04 17 04 00 160  7.0 10.0   2.5    11    MM  MM 1033.1   0.2   1.0    MM   MM +3.2    MM
2014 04 17 03 00 170  8.0  9.0   2.9    11    MM  MM 1031.8   0.7   1.0    MM   MM +3.4    MM
2014 04 17 02 00 160  7.0  9.0   2.9    12    MM  MM 1031.1   1.3   1.0    MM   MM +4.6    MM
2014 04 17 01 00 180  6.0  8.0   2.7    10    MM  MM 1029.9   1.7   1.0    MM   MM +5.7    MM
2014 04 17 00 00 130  7.0  8.0   2.8    11    MM  MM 1028.4   2.0   1.1    MM   MM +5.9    MM
2014 04 16 23 00 180  6.0  8.0   3.1    11    MM  MM 1026.5   2.5   1.2    MM   MM +5.8    MM
2014 04 16 22 00 130  6.0 10.0   3.0    11    MM  MM 1024.2   2.8   1.2    MM   MM +5.5    MM
2014 04 16 21 00 150  6.0  8.0   3.0    10    MM  MM 1022.5   2.8   1.3    MM   MM +5.8    MM
2014 04 16 20 00 160  7.0  9.0   3.1    11    MM  MM 1020.7   3.0   1.4    MM   MM +6.0    MM
2014 04 16 19 00  10  5.0  6.0   3.1    10    MM  MM 1018.7   3.6   1.4    MM   MM +6.5    MM
2014 04 16 18 00 140  7.0  8.0   3.3    10    MM  MM 1016.7   3.4   1.3    MM   MM +5.7    MM
2014 04 16 17 00 140  7.0  9.0   3.5    11    MM  MM 1014.7   4.2   1.3    MM   MM +5.1    MM
2014 04 16 16 00 300  4.0  6.0   3.7    10    MM  MM 1012.2   3.3   1.3    MM   MM +4.6    MM
2014 04 16 15 00 360  6.0  8.0   4.0    11    MM  MM 1011.0   4.5   1.4    MM   MM +3.1    MM
2014 04 16 14 00  40 10.0 12.0   4.6    10    MM  MM 1009.6   6.8   1.4    MM   MM   MM    MM
2014 04 16 13 00 340 12.0 15.0   3.9     8    MM  MM 1007.6   7.6   1.4    MM   MM -0.5    MM
2014 04 16 12 00 330 12.0   MM    MM    MM    MM  MM 1007.9   7.6    MM    MM   MM -0.8    MM
2014 04 16 10 00   0 11.0 13.0   3.1     8    MM  MM 1008.1   6.4   1.2    MM   MM -2.3    MM
2014 04 16 09 00  10 11.0 13.0   2.9     8    MM  MM 1008.7   6.4   1.3    MM   MM -2.5    MM
2014 04 16 08 00  30 10.0 11.0   2.9     8    MM  MM 1009.9   6.1   1.3    MM   MM -2.1    MM
2014 04 16 07 00  10 11.0 12.0   2.8     7    MM  MM 1010.4   6.6   1.5    MM   MM -2.2    MM
2014 04 16 06 00 330 11.0 13.0   2.7     8    MM  MM 1011.2   7.0   1.8    MM   MM -2.4    MM
2014 04 16 05 00   0 10.0   MM    MM    MM    MM  MM 1012.0   6.8   1.9    MM   MM -1.8    MM
2014 04 16 04 00   0 11.0 13.0   2.3     8    MM  MM 1012.6   6.7   2.0    MM   MM -1.7    MM
2014 04 16 03 00 260  9.0 12.0   2.1     6    MM  MM 1013.6   6.2   2.1    MM   MM -1.4    MM
2014 04 16 02 00  20  9.0 12.0   2.0     6    MM  MM 1013.8   6.3   2.2    MM   MM -1.1    MM
2014 04 16 01 00  30 10.0 12.0   1.9     5    MM  MM 1014.3   6.4   2.2    MM   MM -0.5    MM
2014 04 16 00 00 250  9.0 11.0   1.6     6    MM  MM 1015.0   6.3   2.2    MM   MM -0.7    MM
2014 04 15 23 00 230  9.0 10.0   1.8     6    MM  MM 1014.9   6.0   2.3    MM   MM -1.3    MM
2014 04 15 22 00  30 10.0 12.0   1.7     6    MM  MM 1014.8   7.3   2.3    MM   MM -2.2    MM
2014 04 15 21 00  50  8.0 10.0   1.5     6    MM  MM 1015.7   5.6   2.4    MM   MM -1.6    MM
2014 04 15 20 00  50  8.0  9.0   1.5     6    MM  MM 1016.2   5.1   2.5    MM   MM -1.3    MM
2014 04 15 19 00 200  6.0  8.0   1.5     6    MM  MM 1017.0   5.1   2.5    MM   MM -1.3    MM
2014 04 15 18 00  60  7.0  8.0   1.4     6    MM  MM 1017.3   5.3   2.5    MM   MM -1.3    MM
2014 04 15 17 00  50  8.0 10.0   1.4     6    MM  MM 1017.5   5.7   2.4    MM   MM -1.7    MM
2014 04 15 16 00  70  7.0  8.0   1.3     5    MM  MM 1018.3   5.2   2.4    MM   MM -1.8    MM
2014 04 15 15 00 100  7.0  8.0   1.1     6    MM  MM 1018.6   5.4   2.3    MM   MM -1.5    MM
2014 04 15 14 00 250  6.0  7.0   1.1     6    MM  MM 1019.2   4.3   2.2    MM   MM -0.7    MM
2014 04 15 13 00 260  6.0  6.0   1.2     6    MM  MM 1020.1   4.1   2.1    MM   MM +0.3    MM
2014 04 15 12 00 260  5.0  6.0   1.2     6    MM  MM 1020.1   3.7   2.1    MM   MM +0.9    MM
2014 04 15 11 00 260  5.0  6.0   1.3     6    MM  MM 1019.9   3.9   2.1    MM   MM +0.8    MM
2014 04 15 10 00 250  2.0  3.0   1.3     5    MM  MM 1019.8   3.4   2.1    MM   MM +1.1    MM
2014 04 15 09 00 250  6.0  7.0   1.3     6    MM  MM 1019.2   4.3   2.1    MM   MM +0.6    MM
2014 04 15 08 00 270  4.0  6.0   1.3     6    MM  MM 1019.1   4.4   2.0    MM   MM +0.7    MM
2014 04 15 07 00 200  5.0  6.0   1.4     6    MM  MM 1018.7   3.9   1.9    MM   MM -0.1    MM
2014 04 15 06 00 270  5.0  6.0   1.4     6    MM  MM 1018.6   3.4   1.9    MM   MM -0.5    MM
2014 04 15 05 00  90  7.0  8.0   1.4     6    MM  MM 1018.4   3.7   1.9    MM   MM -0.6    MM
2014 04 15 04 00 260  6.0  7.0   1.4     6    MM  MM 1018.8   3.4   1.8    MM   MM -0.5    MM
2014 04 15 03 00 260  5.0  6.0   1.4     6    MM  MM 1019.1   3.2   1.7    MM   MM +0.3    MM
2014 04 15 02 00 240  6.0  7.0   1.5     6    MM  MM 1019.0   3.2   1.7    MM   MM +0.9    MM
2014 04 15 01 00 100  6.0  7.0   1.6     6    MM  MM 1019.3   3.4   1.6    MM   MM +1.1    MM
2014 04 15 00 00  50  9.0 11.0   1.8     6    MM  MM 1018.8   4.6   1.5    MM   MM +0.5    MM
2014 04 14 23 00  50 10.0 12.0   2.0     6    MM  MM 1018.1   4.9   1.7    MM   MM -0.4    MM
2014 04 14 22 00  60  8.0 10.0   1.9     6    MM  MM 1018.2   4.0   1.9    MM   MM -0.4    MM
2014 04 14 21 00 240  5.0  7.0   1.8     6    MM  MM 1018.3   4.4   2.0    MM   MM -0.4    MM
2014 04 14 20 00 260  4.0  6.0   1.9     6    MM  MM 1018.5   4.6   1.9    MM   MM -0.3    MM
2014 04 14 19 00 260  5.0  6.0   1.7     6    MM  MM 1018.6   4.5   2.0    MM   MM -0.2    MM
2014 04 14 18 00 260  4.0  6.0   1.9     7    MM  MM 1018.7   4.4   1.9    MM   MM -0.1    MM
2014 04 14 17 00 240  5.0  6.0   1.7     6    MM  MM 1018.8   4.3   1.9    MM   MM -0.5    MM
2014 04 14 16 00 230  6.0  7.0   1.8     6    MM  MM 1018.8   3.9   1.0    MM   MM +0.2    MM
2014 04 14 15 00 230  7.0  9.0   2.0     6    MM  MM 1018.8   4.1   1.0    MM   MM -0.3    MM
2014 04 14 14 00 240  6.0  7.0   2.0     6    MM  MM 1019.3   4.3   1.0    MM   MM -0.5    MM
2014 04 14 13 00 220 10.0 11.0   2.0     6    MM  MM 1018.6   5.2   1.0    MM   MM -1.4    MM
2014 04 14 12 00 210  9.0 11.0   2.0     6    MM  MM 1019.1   4.7   1.0    MM   MM -1.1    MM
2014 04 14 11 00 210  8.0 10.0   1.9     6    MM  MM 1019.8   4.8   0.9    MM   MM -2.8    MM
2014 04 14 10 00 200 10.0 12.0   1.8     6    MM  MM 1020.0   4.7   1.0    MM   MM -4.1    MM
2014 04 14 09 00 180 10.0 12.0   1.6     5    MM  MM 1020.2   3.8   1.0    MM   MM -4.6    MM
2014 04 14 08 00 130  6.0  7.0   1.3     5    MM  MM 1022.6   2.6   1.0    MM   MM -3.4    MM
2014 04 14 07 00 110  6.0  7.0   1.3     9    MM  MM 1024.1   2.6   1.0    MM   MM -2.8    MM
2014 04 14 06 00 130  7.0  8.0   1.2     9    MM  MM 1024.8   2.4   1.0    MM   MM -2.6    MM
2014 04 14 05 00 140  6.0  8.0   1.2    10    MM  MM 1026.0   2.4   1.0    MM   MM -2.7    MM
2014 04 14 04 00 150  6.0  7.0   1.1     9    MM  MM 1026.9   2.2   1.0    MM   MM -2.2    MM
2014 04 14 03 00 140  6.0  7.0   1.1    10    MM  MM 1027.4   2.2   1.1    MM   MM -2.6    MM
2014 04 14 02 00 130  5.0  6.0   1.1    10    MM  MM 1028.7   1.9   1.2    MM   MM -1.3    MM
2014 04 14 01 00 130  6.0  7.0   1.1    10    MM  MM 1029.1   2.0   1.1    MM   MM -1.6    MM
2014 04 14 00 00 130  4.0  5.0   1.1     9    MM  MM 1030.0   1.8   1.0    MM   MM -0.1    MM
2014 04 13 23 00 170  4.0  5.0   1.1     8    MM  MM 1030.0   1.9   1.0    MM   MM -0.5    MM
2014 04 13 22 00 200  4.0  5.0   1.2    10    MM  MM 1030.7   1.9   1.0    MM   MM +0.1    MM
2014 04 13 21 00 180  4.0  5.0   1.3     8    MM  MM 1030.1   2.0   1.0    MM   MM -0.6    MM
2014 04 13 20 00 170  4.0  5.0   1.3     9    MM  MM 1030.5   1.9   1.2    MM   MM +0.0    MM
2014 04 13 19 00 180  4.0  5.0   1.3    10    MM  MM 1030.6   1.9   1.4    MM   MM +0.2    MM
2014 04 13 18 00 170  4.0  5.0   1.4    11    MM  MM 1030.7   2.1   1.5    MM   MM +0.4    MM
2014 04 13 17 00 150  4.0  5.0   1.5    10    MM  MM 1030.5   2.1   1.7    MM   MM +0.0    MM
2014 04 13 16 00 150  3.0  4.0   1.6    10    MM  MM 1030.4   2.2   1.9    MM   MM +0.5    MM
2014 04 13 15 00 120  1.0  2.0   1.5    10    MM  MM 1030.3   2.5   1.9    MM   MM +1.1    MM
2014 04 13 14 00  MM  0.0  0.0   1.5    10    MM  MM 1030.5   3.0   1.9    MM   MM +2.0    MM
2014 04 13 13 00  MM  0.0  0.0   1.7    10    MM  MM 1029.9   2.9   1.3    MM   MM +2.2    MM
2014 04 13 12 00  20  2.0  4.0   1.6    10    MM  MM 1029.2   2.4   1.0    MM   MM +2.5    MM
2014 04 13 11 00  10  3.0  4.0   1.5    10    MM  MM 1028.5   2.5   1.0    MM   MM +3.0    MM
2014 04 13 10 00  10  2.0  3.0   1.4     9    MM  MM 1027.7   2.7   1.0    MM   MM +3.2    MM
2014 04 13 09 00 350  4.0  5.0   1.4    10    MM  MM 1026.7   3.3   1.1    MM   MM +2.8    MM
2014 04 13 08 00 330  4.0  5.0   1.7    10    MM  MM 1025.5   3.2   1.1    MM   MM +2.2    MM
2014 04 13 07 00 340  5.0  6.0   1.7     9    MM  MM 1024.5   3.5   0.7    MM   MM +2.2    MM
2014 04 13 06 00 340  4.0  4.0   1.7     9    MM  MM 1023.9   4.2   0.7    MM   MM +2.5    MM
2014 04 13 05 00 280  3.0  4.0   1.5     9    MM  MM 1023.3   4.5   0.7    MM   MM +2.2    MM
2014 04 13 04 00 260  5.0  6.0   1.5     8    MM  MM 1022.3   2.9   0.8    MM   MM +1.6    MM
2014 04 13 03 00 240  5.0  6.0   1.5     8    MM  MM 1021.4   2.5   0.8    MM   MM +1.8    MM
2014 04 13 02 00 240  5.0  6.0   1.6     9    MM  MM 1021.1   2.4   0.9    MM   MM +2.8    MM
2014 04 13 01 00 220  4.0  5.0   1.5     9    MM  MM 1020.7   2.5   1.2    MM   MM +3.4    MM
2014 04 13 00 00 230  4.0  5.0   1.5     8    MM  MM 1019.6   3.6   1.2    MM   MM +3.0    MM
2014 04 12 23 00 240  3.0  4.0   1.5     9    MM  MM 1018.3   4.2   1.3    MM   MM +2.3    MM
