Lon    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
-50 40.486 40.447 40.386 40.551 40.221 40.444 40.405 40.389 40.366 40.500 40.116 40.369
-51 40.430 40.359 40.169 40.312 40.207 40.283 40.369 40.506 40.378 40.432 40.258 40.122
-52 40.220 40.267 40.254 40.111 40.182 39.941 40.104 40.447 40.374 40.365 40.314 40.018
-53 40.083 40.256 40.271 40.140 40.030 39.986 39.782 40.224 40.211 40.416 40.096 40.182 
-54 39.797 40.048 40.311 40.337 40.097 40.029 39.912 40.058 40.275 40.460 40.024 40.168
-55 39.923 39.795 40.097 40.344 40.223 40.188 40.290 40.229 40.369 40.470 40.353 40.230
-56 40.113 40.028 40.147 40.281 40.226 40.194 40.471 40.347 40.240 40.504 40.601 40.279
-57 40.192 40.200 40.140 40.219 40.235 39.981 40.139 40.145 40.188 40.317 40.672 40.307
-58 40.051 40.064 40.024 40.152 40.129 39.724 39.731 40.051 40.094 40.126 40.313 40.067
-59 39.690 39.801 39.946 40.000 39.976 39.901 39.728 39.941 39.835 39.870 39.926 39.778
-60 39.597 39.614 39.779 39.636 39.647 39.990 39.826 39.824 39.775 39.982 40.017 39.739
-61 39.602 39.551 39.601 39.514 39.493 39.795 39.781 39.838 39.749 40.225 40.110 39.858
-62 39.389 39.570 39.358 39.386 39.451 39.607 39.681 39.639 39.673 39.969 39.936 39.744
-63 39.187 39.257 39.158 39.335 39.221 39.416 39.292 39.291 39.267 39.475 39.478 39.516
-64 38.974 38.672 38.829 39.019 38.924 39.074 38.789 38.980 38.867 39.029 39.183 39.094
-65 38.602 38.510 38.482 38.535 38.662 38.801 38.522 38.587 38.726 38.724 38.759 38.709
-66 38.325 38.349 38.275 38.274 38.371 38.515 38.392 38.554 38.649 38.622 38.613 38.390
-67 38.131 38.141 38.090 37.896 38.072 38.276 38.210 38.437 38.321 38.437 38.320 38.290
-68 38.065 37.897 37.943 37.827 37.963 38.039 38.044 38.175 37.968 38.180 38.222 38.252
-69 38.068 37.978 37.965 37.911 38.003 37.903 38.014 37.991 37.909 38.142 38.199 38.196
-70 37.980 37.968 37.937 37.861 37.828 37.767 37.787 37.799 37.881 37.934 38.080 38.038
-71 37.783 37.744 37.692 37.536 37.462 37.504 37.464 37.602 37.639 37.647 37.767 37.766
-72 37.433 37.429 37.323 37.218 37.174 37.212 37.247 37.349 37.342 37.317 37.293 37.380
-73 36.900 36.967 36.867 36.825 36.836 36.847 36.863 36.893 36.856 36.850 36.816 36.923
-74 36.201 36.183 36.119 36.205 36.217 36.256 36.247 36.259 36.207 36.149 36.203 36.271
-75 35.236 35.187 35.190 35.205 35.263 35.332 35.276 35.293 35.249 35.290 35.289 35.264

