 Time: 1200  8 Jun 2007 to 1200 10 Jun 2008 (index     1 to   369,   369 lines, 16 depths)
 Index:              1      2      3      4      6      9     11     12     13     16     18     19     20     21     23     24
 Depth(M):           1      5      8     10     15     20     30     32     35     45     80    100    120    150    200    300 QUALITY SOURCE
 YYYYMMDD HHMM     SST   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP QQQQQQQQQQQQQQQQ SSSSSSSSSSSSSSSS
 20070608 1200   7.070  7.050  7.050  7.050 -9.999 -9.999  6.990  6.980  6.950  6.630  5.080  5.520  6.160  5.720  4.750  4.270 2222002222222222 5555005555555555
 20070609 1200   7.050  7.040  7.040  7.040  7.030  7.020  6.980  6.970  6.930  6.680  5.270  5.590  6.160  5.760  4.860  4.140 2222222222222222 5555155555555555
 20070610 1200   6.910  6.900  6.900  6.900  6.900  6.900  6.890  6.890  6.890  6.840  5.270  5.600  6.100  5.800  5.000  4.180 2222222222222222 5555155555555555
 20070611 1200   6.950  6.940  6.930  6.930  6.920  6.910  6.890  6.880  6.860  6.800  5.240  5.430  5.940  5.390  4.760  4.320 2222222222222222 5555155555555555
 20070612 1200   6.830  6.820  6.820  6.820  6.810  6.800  6.750  6.740  6.720  6.650  5.110  5.440  5.870  5.310  4.760  4.280 2222222222222222 5555155555555555
 20070613 1200   6.790  6.780  6.770  6.770  6.770  6.760  6.750  6.750  6.730  6.610  4.930  5.370  5.850  5.310  4.740  4.290 2222222222222222 5555155555555555
 20070614 1200   7.070  6.990  6.940  6.880  6.820  6.800  6.780  6.780  6.780  6.720  5.130  5.210  5.230  5.070  4.670  4.300 2222222222222222 5555155555555555
 20070615 1200   7.280  7.230  7.120  7.040  6.890  6.850  6.820  6.820  6.810  6.730  4.920  4.980  4.680  4.760  4.340  4.280 2222222222222222 5555155555555555
 20070616 1200   7.500  7.460  7.350  7.260  6.980  6.900  6.840  6.830  6.810  6.690  4.750  4.630  4.940  4.920  4.320  4.130 2222222222222222 5555155555555555
 20070617 1200   7.590  7.580  7.400  7.270  6.950  6.870  6.770  6.750  6.720  6.620  4.590  4.350  4.550  4.480  4.310  4.120 2222222222222222 5555155555555555
 20070618 1200   7.650  7.640  7.620  7.580  7.130  6.840  6.690  6.680  6.660  6.540  4.640  4.390  4.550  4.520  4.300  4.110 2222222222222222 5555155555555555
 20070619 1200   7.650  7.640  7.620  7.570  7.160  6.900  6.720  6.710  6.690  6.600  4.620  4.480  4.810  4.590  4.300  4.110 2222222222222222 5555155555555555
 20070620 1200   7.450  7.450  7.440  7.440  7.410  7.270  7.000  6.960  6.890  6.680  4.780  4.540  4.760  4.800  4.380  4.120 2222222222222222 5555155555555555
 20070621 1200   7.380  7.370  7.370  7.370  7.360  7.360  7.210  7.140  7.020  6.660  4.850  4.720  4.950  4.850  4.470  4.140 2222222222222222 5555155555555555
 20070622 1200   7.650  7.570  7.520  7.480  7.400  7.370  7.220  7.140  7.020  6.680  4.870  4.970  4.860  4.890  4.440  4.220 2222222222222222 5555155555555555
 20070623 1200   8.030  7.760  7.670  7.620  7.520  7.460  7.350  7.300  7.160  6.720  4.920  4.660  4.840  4.750  4.490  4.250 2222222222222222 5555155555555555
 20070624 1200   8.070  8.050  7.960  7.900  7.760  7.600  7.470  7.420  7.260  6.750  4.770  4.630  4.960  4.740  4.430  4.250 2222222222222222 5555155555555555
 20070625 1200   8.050  8.010  8.000  8.000  8.000  7.950  7.480  7.420  7.280  6.640  4.920  4.750  5.000  4.890  4.500  4.210 2222222222222222 5555155555555555
 20070626 1200   8.590  8.160  8.050  8.020  7.960  7.870  7.540  7.470  7.310  6.600  4.870  4.900  5.020  4.940  4.530  4.200 2222222222222222 5555155555555555
 20070627 1200   8.450  8.380  8.160  8.110  8.020  7.840  7.480  7.380  7.190  6.500  4.860  4.820  5.010  4.910  4.520  4.220 2222222222222222 5555155555555555
 20070628 1200   8.380  8.350  8.340  8.330  8.280  8.060  7.280  7.140  6.910  6.560  4.490  4.260  4.820  4.860  4.530  4.220 2222222222222222 5555155555555555
 20070629 1200   8.690  8.490  8.390  8.360  8.240  7.960  7.270  7.130  6.920  6.570  4.520  4.400  4.850  4.860  4.480  4.200 2222222222222222 5555155555555555
 20070630 1200   8.890  8.770  8.480  8.370  8.260  8.080  7.390  7.290  7.140  6.620  4.570  4.420  4.700  4.800  4.450  4.160 2222222222222222 5555155555555555
 20070701 1200   9.110  9.080  8.730  8.540  8.310  8.150  7.380  7.280  7.090  6.630  4.530  4.380  4.660  4.790  4.490  4.170 2222222222222222 5555155555555555
 20070702 1200   9.080  9.070  9.050  9.010  8.630  8.120  7.230  7.110  6.940  6.600  4.490  4.350  4.540  4.740  4.500  4.170 2222222222222222 5555155555555555
 20070703 1200   9.200  9.180  9.150  9.110  8.690  8.070  7.210  7.090  6.930  6.520  4.650  4.360  4.550  4.550  4.500  4.200 2222222222222222 5555155555555555
 20070704 1200   9.270  9.250  9.220  9.180  8.730  8.160  7.340  7.240  7.050  6.510  4.660  4.430  4.600  4.480  4.430  4.180 2222222222222222 5555155555555555
 20070705 1200   9.200  9.200  9.190  9.180  8.980  8.290  7.420  7.280  7.070  6.480  4.730  4.430  4.600  4.500  4.400  4.160 2222222222222222 5555155555555555
 20070706 1200   9.030  9.020  9.010  9.010  9.010  8.900  7.380  7.240  7.060  6.470  4.690  4.510  4.570  4.520  4.240  4.140 2222222222222222 5555155555555555
 20070707 1200   9.060  9.050  9.040  9.030  9.010  8.840  7.390  7.250  7.020  6.440  4.570  4.380  4.520  4.520  4.260  4.110 2222222222222222 5555155555555555
 20070708 1200   9.250  9.230  9.170  9.130  9.020  8.840  7.400  7.230  7.000  6.490  4.520  4.340  4.500  4.510  4.280  4.110 2222222222222222 5555155555555555
 20070709 1200   9.010  9.000  9.000  9.000  8.990  8.970  7.970  7.650  7.230  6.460  4.630  4.300  4.510  4.520  4.290  4.100 2222222222222222 5555155555555555
 20070710 1200   8.910  8.910  8.900  8.900  8.900  8.900  8.200  7.790  7.280  6.520  4.600  4.290  4.520  4.500  4.330  4.110 2222222222222222 5555155555555555
