 Time: 1200 12 Jun 2011 to 1200  2 Jun 2012 (index  1466 to  1822,   357 lines, 19 depths)
 Index:              1      2      4      5      6      9     10     11     13     15     16     17     18     19     20     21     22     23     24
 Depth(M):           1      5     10     14     15     20     25     30     35     37     45     60     80    100    120    150    175    200    300 QUALITY SOURCE
 YYYYMMDD HHMM     SST   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP   TEMP QQQQQQQQQQQQQQQQQQQ SSSSSSSSSSSSSSSSSSS
 20110612 1200   8.066  8.063  8.060  8.026  8.063  7.908  7.756  7.525  7.257  7.187  6.660  5.759  5.166  4.996  4.858  4.404  4.245  4.147  4.029 2222222222222222222 1111111111111111111
 20110613 1200   8.040  8.015  8.015  8.010  8.064  7.999  7.978  7.780  7.267  7.140  6.651  5.912  5.193  5.014  4.907  4.430  4.261  4.155  4.021 2222222222222222222 1111111111111111111
 20110614 1200   8.110  8.088  8.084  8.077  8.130  8.065  8.032  7.922  7.287  7.201  6.706  5.872  5.162  5.018  4.903  4.456  4.251  4.153  4.025 2222222222222222222 1111111111111111111
 20110615 1200   8.160  8.137  8.115  8.091  8.137  8.058  8.040  8.005  7.496  7.295  6.731  5.830  5.193  5.032  4.919  4.466  4.281  4.167  4.028 2222222222222222222 1111111111111111111
 20110616 1200   8.120  8.094  8.091  8.083  8.138  8.073  8.047  7.958  7.650  7.453  6.720  5.846  5.187  5.025  4.923  4.443  4.271  4.171  4.022 2222222222222222222 1111111111111111111
 20110617 1200   8.240  8.208  8.177  8.147  8.197  8.112  8.067  7.981  7.767  7.617  6.645  5.844  5.213  5.026  4.935  4.475  4.295  4.177  4.024 2222222222222222222 1111111111111111111
 20110618 1200   8.440  8.408  8.387  8.312  8.335  8.169  8.082  7.939  7.540  7.429  6.687  5.931  5.272  5.052  4.941  4.475  4.289  4.169  4.025 2222222222222222222 1111111111111111111
 20110619 1200   8.570  8.527  8.489  8.400  8.392  8.130  8.057  7.926  7.531  7.389  6.620  5.880  5.290  5.025  4.920  4.412  4.220  4.157  4.025 2222222222222222222 1111111111111111111
 20110620 1200   8.570  8.550  8.521  8.445  8.465  8.180  8.057  7.891  7.465  7.352  6.686  5.946  5.265  5.042  4.925  4.434  4.222  4.153  4.025 2222222222222222222 1111111111111111111
 20110621 1200   8.670  8.638  8.620  8.600  8.645  8.409  8.097  7.958  7.636  7.503  6.679  5.745  5.165  5.030  4.932  4.434  4.235  4.141  4.026 2222222222222222222 1111111111111111111
 20110622 1200   8.930  8.898  8.822  8.708  8.725  8.497  8.207  7.998  7.594  7.457  6.673  5.752  5.165  5.033  4.923  4.465  4.218  4.142  4.023 2222222222222222222 1111111111111111111
