"PO4" "NO3"
4.88e-05 0.00063
6.94e-05 0.000607
7.5e-05 0.001349
7.69e-05 0.001535
9.19e-05 0.00063
9.75e-05 0.001117
0.0001041 0.002463
0.000105 0.001651
0.0001106 0.001488
0.0001106 0.002266
0.0001125 0.000561
0.0001181 0.001048
0.0001237 0.002057
0.0001397 0.00179
0.0001462 0.000746
0.000149 0.001454
0.0001518 0.003843
0.0001575 0.001117
0.0001575 0.002846
0.000179 0.00382
0.0001949 0.004817
0.0002062 0.001094
0.0002062 0.005003
0.000208 0.003426
0.0002137 0.004133
0.0002165 0.003124
0.0002174 0.003878
0.0002183 0.005223
0.0002446 0.004284
0.0002474 0.003704
0.0002502 0.003194
0.0002558 0.005548
0.0002567 0.005154
0.0002592 0.007242
0.000278 0.010799
0.0002839 0.003739
0.0003045 0.004261
0.0003054 0.005695
0.0003104 0.009933
0.0003142 0.006793
0.0003154 0.006561
0.0003279 0.007953
0.0003529 0.010598
0.0003666 0.006437
0.0003704 0.010412
0.0003891 0.01134
0.0003966 0.007644
0.0004491 0.009314
0.0004666 0.009206
0.0004965 0.009948
0.0005015 0.010319
0.0005165 0.012067
0.0005777 0.014263
0.0006089 0.011371
0.0006714 0.013613
0.0007276 0.011696
0.0007675 0.016335
0.0007763 0.018655
0.0007863 0.018794
0.0007988 0.01898
0.000825 0.018114
0.0008287 0.016707
0.0008475 0.01748
0.0008562 0.019506
0.0008774 0.022027
0.0009149 0.018145
0.0009299 0.018841
0.0009524 0.01714
0.0009536 0.019258
0.0009574 0.01881
0.0009699 0.018841
0.0009724 0.026651
0.0009786 0.019026
0.0009973 0.01881
0.0010011 0.019537
0.0010011 0.020635
0.0010086 0.019042
0.0010473 0.019985
0.0010485 0.018454
0.0010498 0.020666
0.0010498 0.021346
0.0010498 0.02495
0.0010648 0.019227
0.0010698 0.023635
0.0010785 0.018562
0.0010785 0.019939
0.0010785 0.022429
0.0010798 0.020186
0.0010835 0.018856
0.0010898 0.01898
0.001096 0.018578
0.0010997 0.019552
0.0010997 0.023805
0.001101 0.019707
0.001101 0.022444
0.001126 0.019939
0.001131 0.019289
0.001131 0.022475
0.0011347 0.026357
0.0011372 0.018825
0.0011422 0.01997
0.0011509 0.02031
0.0011559 0.01881
0.0011597 0.021331
0.0011997 0.018872
0.0012121 0.020341
0.0012121 0.02348
0.0012146 0.020836
0.0012321 0.026775
0.0012334 0.025847
0.0012434 0.027068
0.0012633 0.027795
0.0012633 0.027471
0.0012633 0.02495
0.0013395 0.025584
0.0013708 0.01997
0.0014544 0.019954
0.0014782 0.022058
0.0015394 0.023527
