Month  Day     Ph      R      G 
    1    1  0.034  0.024  0.010
    1   15  0.036  0.023  0.011
    2    1  0.044  0.021  0.013
    2   15  0.055  0.021  0.020
    3    1  0.071  0.021  0.031
    3   15  0.091  0.021  0.043
    4    1  0.120  0.021  0.056
    4   15  0.130  0.021  0.067
    5    1  0.131  0.024  0.129
    5   15  0.132  0.026  0.145
    6    1  0.134  0.030  0.141
    6   15  0.134  0.035  0.105
    7    1  0.122  0.038  0.052
    7   15  0.108  0.045  0.047 
    8    1  0.093  0.051  0.045
    8   15  0.081  0.054  0.043
    9    1  0.073  0.056  0.038
    9   15  0.067  0.054  0.034
   10    1  0.065  0.051  0.029
   10   15  0.063  0.045  0.025
   11    1  0.060  0.040  0.024
   11   15  0.053  0.037  0.020
   12    1  0.039  0.031  0.015
   12   15  0.033  0.028  0.012
