x	y
0.414	3.427
15.137	3.392
16.750	3.399
18.364	3.427
21.187	3.462
23.204	3.475
25.221	3.531
27.143	3.599
28.851	3.616
31.070	3.740
33.572	3.790
35.607	3.876
37.725	3.941
39.925	3.948
41.896	4.018
43.489	4.226
45.187	4.226
46.785	4.435
48.405	4.435
50.047	4.586
52.011	4.713
53.255	4.921
54.926	5.060
56.481	5.199
58.498	5.270
60.261	5.546
61.725	5.745
63.738	5.929
65.489	6.164
66.636	6.380
68.065	6.533
70.173	6.880
71.475	7.124
72.659	7.370
92.784	13.922
92.034	13.575
91.574	13.297
90.812	13.046
90.327	12.617
89.648	12.344
88.984	12.021
88.347	11.728
87.540	11.394
86.734	11.025
85.927	10.702
85.120	10.421
84.314	10.144
83.507	9.841
82.498	9.485
81.493	9.205
80.287	8.939
79.070	8.674
77.860	8.397
76.824	8.153
73.019	7.426
74.540	7.729
76.246	8.061
77.423	8.272
78.498	8.556
79.523	8.802
80.699	9.091
82.367	9.508
83.507	9.717
84.297	10.067
84.901	10.337
85.725	10.646
86.532	10.960
87.339	11.258
88.058	11.660
73.019	7.427
74.043	7.646
76.246	8.062
77.432	8.270
78.496	8.553
79.518	8.803
80.694	9.091
82.361	9.509
83.507	9.717
84.290	10.065
84.901	10.338
85.844	10.621
86.512	10.961
87.242	11.222
87.540	11.524
88.645	11.803
87.137	11.038
87.137	11.333
96.414	16.564
96.818	16.842
97.221	17.189
97.625	17.537
98.011	17.884
98.420	18.232
98.835	18.788
99.238	19.135
100.851	21.290
101.165	21.609
101.457	22.169
101.658	22.541
101.860	22.819
102.062	23.167
102.342	23.514
102.465	23.792
102.832	24.334
104.519	28.507
104.885	28.797
104.885	29.127
105.269	29.423
105.289	29.747
105.538	30.041
105.692	30.326
105.732	30.639
106.095	31.021
106.095	31.299
106.376	31.618
106.516	31.925
106.499	32.272
107.305	32.516
106.902	32.981
107.655	33.246
108.088	33.716
107.709	34.020
108.467	34.288
109.308	34.626
109.845	35.012
110.682	35.293
112.287	35.499
113.750	35.713
115.776	35.639
112.549	35.435
111.339	35.226
109.726	35.157
110.129	34.879
112.549	35.435
111.339	35.226
109.726	35.157
110.129	34.879
107.305	32.272
106.902	31.880
117.188	35.354
118.801	34.705
120.146	33.686
121.759	32.296
123.104	30.998
125.524	28.867
128.482	26.364
132.247	23.260
135.742	20.665
138.969	17.884
141.121	16.541
144.079	14.502
145.961	13.204
148.112	12.138
150.264	11.212
152.684	10.331
154.297	9.590
156.180	8.941
158.062	8.478
161.020	8.061
163.440	7.783
167.743	7.505
171.239	7.366
174.734	7.458
178.230	7.829
181.188	8.153
183.339	8.802
185.491	9.636
187.373	10.517
190.600	11.814
194.365	13.158
196.247	13.760
199.743	14.455
202.970	14.919
208.617	15.197
213.457	15.243
218.298	15.104
222.331	14.733
226.096	14.177
230.130	13.297
233.894	12.277
237.659	11.304
241.693	10.470
245.458	9.775
247.878	9.265
252.180	8.431
256.752	7.690
262.668	6.810
269.122	5.975
274.769	5.419
281.491	4.956
288.483	4.585
293.323	4.446
299.239	4.307
308.920	4.215
317.525	4.122
325.592	3.890
331.509	3.751
338.500	3.566
343.878	3.427
348.181	3.334
354.366	3.241
358.668	3.195
363.509	3.149
